precio,demanda,porcentaje,eolica,hidraulica,solar
232.55,27569,63.25228172106961,12507.166666666666,1439.0,2.0
203.36,25873,65.6036568330827,12331.333333333334,1591.6666666666667,2.0
196.59,24796,65.92150652475479,12491.166666666666,939.3333333333334,2.0
193.52,24286,66.83709824609653,12668.0,676.8333333333334,1.6666666666666667
177.98,24171,67.58660558875462,12960.666666666666,507.1666666666667,1.6666666666666667
191.33,24833,68.16457131648471,13540.166666666666,541.6666666666666,1.8333333333333333
199.42,27319,66.54144952574718,13944.0,1118.5,2.0
243.08,31767,65.64347056037235,13864.833333333334,2933.5,2.0
253.51,33791,65.67074510953184,13745.5,4113.166666666667,92.33333333333331
253.77,34288,67.94334219676826,13870.833333333334,4235.666666666667,1789.8333333333333
236.6,34915,69.67759929105132,13862.5,3151.5,4316.666666666667
196.82,34353,71.36878231413799,14700.0,1771.0,5500.833333333333
195.16,34413,71.84632554423114,15559.833333333334,1318.3333333333333,5834.333333333333
187.76,34770,73.57832846927107,16150.666666666666,1287.1666666666667,6423.166666666667
175.98,34385,72.61695925152908,16238.833333333334,834.3333333333334,6339.0
188.55,33793,72.08377008150255,15980.166666666666,1187.0,5804.5
199.61,33841,69.75706868496079,15212.5,1957.3333333333333,3765.3333333333335
258.5,34055,64.50491734577209,14299.0,3355.5,834.5
270.94,35412,59.89567902897107,13322.333333333334,4313.166666666667,16.0
280.29,36237,59.63223944701698,12498.5,5212.5,4.833333333333333
289.63,36549,59.68577247599651,12187.666666666666,5531.5,3.5
291.02,35825,59.47931339845739,11922.666666666666,5161.0,3.0
257.0,32843,59.61720974375198,12717.0,3486.0,2.6666666666666665
252.41,29855,62.371684821966646,13033.666666666666,2958.5,2.1666666666666665
244.94,28105,65.24146466141138,12794.166666666666,2877.5,2.6666666666666665
216.93,26335,66.69951182707304,12788.833333333334,2380.333333333333,1.6666666666666667
203.13,25152,67.22181056890489,12683.0,1776.5,1.6666666666666667
200.45,24621,67.54252039137177,13006.666666666666,1328.3333333333333,2.0
199.23,24477,66.34993039305708,12694.166666666666,1321.5,2.0
205.18,25162,65.46680026564448,12511.666666666666,1560.6666666666667,2.0
212.07,27674,63.97972584303808,12818.5,2175.333333333333,2.0
239.98,32114,60.76021317838872,12846.5,3336.333333333333,1.8333333333333333
256.33,34141,60.43118486788627,12781.166666666666,4378.0,224.8333333333333
254.39,34999,63.26398639341285,12411.5,3943.6666666666665,2774.6666666666665
227.91,34821,65.66501388253111,11876.833333333334,3040.6666666666665,5911.333333333333
208.83,34629,66.98593032240535,11874.5,2253.0,6896.0
204.93,34118,68.18491081125624,11986.0,2230.0,7114.333333333333
200.11,34015,68.0809927381173,12065.833333333334,2187.6666666666665,7141.166666666667
199.08,33492,68.14202150284052,12172.833333333334,2132.6666666666665,7045.666666666667
203.44,32894,67.06148836770328,11853.0,1905.8333333333333,6485.5
228.88,32390,61.93086578353432,11151.166666666666,2061.1666666666665,4304.833333333333
268.54,32921,56.45302010340996,10689.0,3174.0,1144.3333333333333
282.82,34650,56.751702891889344,10798.166666666666,5207.166666666667,255.8333333333333
281.57,35296,57.43250223457916,11330.833333333334,5273.666666666667,4.166666666666667
294.1,35237,58.08421184178814,11262.0,5745.0,3.1666666666666665
268.1,34422,57.76291382256458,11327.666666666666,5059.166666666667,3.0
243.5,31919,58.72774039433653,11563.666666666666,4581.333333333333,3.0
217.8,29325,61.956620704306566,11767.5,3983.1666666666665,3.0
243.24,28001,66.14799408899349,12000.333333333334,3475.833333333333,3.0
227.15,26128,69.80923141822613,11738.333333333334,3448.0,3.0
209.38,24589,71.25692539811494,12326.5,2447.0,3.0
192.13,23816,70.25888211446994,12526.0,1145.8333333333333,2.833333333333333
193.3,23417,70.8899788866574,13002.0,683.8333333333334,3.0
192.39,23335,70.95125080179602,13486.666666666666,280.1666666666667,2.833333333333333
195.05,23943,71.33827732520807,13722.666666666666,491.5,2.833333333333333
208.19,25456,70.39046668481384,13335.666666666666,1391.1666666666667,3.0
221.93,26696,70.69870153831961,13252.333333333334,2331.1666666666665,186.0
230.95,28827,71.32152479951533,12927.166666666666,2524.1666666666665,2242.0
230.26,30492,75.21780581559277,12789.0,2619.5,4540.5
228.52,30441,75.74637573598535,12948.666666666666,2491.1666666666665,4933.0
239.88,30127,76.04903254932944,13033.666666666666,2646.6666666666665,4928.333333333333
221.95,30328,75.91544242230948,12952.666666666666,2178.6666666666665,5114.5
218.87,30020,74.61454875038181,13075.166666666666,2058.0,4633.333333333333
208.62,29024,75.0137706689947,13574.666666666666,1449.8333333333333,4027.0
222.48,28745,73.67643450710986,13811.5,1765.1666666666667,2409.833333333333
245.76,29000,70.44573486674322,13135.0,3289.833333333333,417.8333333333333
255.74,30727,68.82255645277282,13496.166666666666,4105.833333333333,5.5
250.45,31285,69.99496237360492,13852.5,3908.6666666666665,4.0
245.56,31802,70.28948493156398,13873.333333333334,3921.0,4.0
249.5,31620,68.72407482183405,13306.666666666666,3854.5,4.0
251.25,29915,69.40749114638864,13331.5,3576.333333333333,4.0
218.8,27751,73.31147099121763,14006.333333333334,3030.833333333333,4.0
181.76,26052,78.03021241986413,14469.666666666666,2538.833333333333,3.1666666666666665
114.19,23991,79.67958435366216,14592.166666666666,1166.8333333333333,3.0
92.5,22650,79.03538227468013,14794.333333333334,108.5,3.0
22.75,21830,78.38241125980494,15301.0,-601.3333333333334,3.0
16.79,21416,76.58888720106201,15830.666666666666,-1256.6666666666667,3.0
15.51,21579,76.43444914390207,15950.0,-1321.8333333333333,3.0
17.46,21968,77.85844276568167,16268.666666666666,-1203.6666666666667,3.0
24.88,22722,79.5112745001671,16315.333333333334,-853.5,3.0
90.05,23436,82.18315617334423,16602.166666666668,286.6666666666667,133.5
95.33,25466,83.49973542358393,16463.333333333332,738.3333333333334,1958.3333333333333
89.77,27099,85.31386924410972,16377.5,490.8333333333333,4668.333333333333
47.88,27774,85.33713308047493,17026.833333333332,-296.3333333333333,5835.5
25.4,27998,84.32659424663046,17304.166666666668,-620.1666666666666,5994.166666666667
29.72,28405,84.69189328624012,17625.0,-647.0,6084.166666666667
25.78,28356,84.72483947944599,17830.0,-566.0,5971.666666666667
18.64,27188,84.28243381085657,18096.166666666668,-906.1666666666666,5184.333333333333
87.58,26610,84.09738025932786,17669.333333333332,24.33333333333333,3190.5
182.47,27088,80.3920419428401,16703.666666666668,2388.0,714.8333333333334
224.3,28967,75.94799066499115,16407.833333333332,3343.0,13.666666666666666
243.77,29915,75.35932713880324,15748.333333333334,3926.8333333333335,9.0
255.1,30735,74.89231338603723,14787.833333333334,4648.5,9.0
261.07,30366,74.8417680841984,14501.166666666666,4918.166666666667,8.0
246.35,29074,74.22000894091717,14372.333333333334,4591.0,3.0
229.05,26796,74.43561191269158,14072.833333333334,4291.833333333333,3.0
209.67,25446,74.71549192364171,13588.666666666666,3245.833333333333,3.0
198.15,23705,74.3943955880161,13258.833333333334,2632.333333333333,3.0
192.98,22344,74.27141428939707,12985.666666666666,1768.0,3.1666666666666665
187.77,21657,74.20697715647715,12467.333333333334,1410.0,3.1666666666666665
184.35,21317,72.71174320673765,12198.833333333334,1146.0,3.1666666666666665
183.5,21506,73.15188962772216,12331.333333333334,834.3333333333334,3.0
187.08,22300,72.69498326474974,12288.833333333334,1677.8333333333333,3.0
192.47,23547,74.11461918300165,12699.166666666666,2975.333333333333,3.0
189.21,24404,74.11987974881896,12442.833333333334,3711.0,162.83333333333334
190.28,25979,76.4567345003018,12069.833333333334,4154.5,2429.6666666666665
193.87,27429,78.575827679186,11988.0,2959.0,5347.5
195.26,27971,79.5644807404927,12218.833333333334,2509.6666666666665,6402.5
192.69,27925,80.05550067266022,12823.0,1566.3333333333333,6683.833333333333
195.77,28273,78.73411331512057,12935.833333333334,1012.5,6736.333333333333
199.82,28785,76.91297500382619,12376.166666666666,1159.5,6525.333333333333
212.34,27473,74.14994559854254,11546.666666666666,1155.5,5625.333333333333
232.63,26929,70.33623689749307,10966.666666666666,2313.6666666666665,3126.5
250.32,27141,65.59856542831677,10398.666666666666,3715.5,684.0
259.29,29159,63.336531603872814,10385.333333333334,5031.5,7.333333333333333
271.81,30674,63.41576947910566,10286.0,5772.5,4.0
280.82,31291,63.29797878727236,10331.333333333334,5686.333333333333,3.6666666666666665
250.68,31222,62.40947581692556,10186.166666666666,4746.666666666667,4.0
240.35,29874,62.41912083955481,9797.166666666666,4756.666666666667,3.8333333333333335
228.17,27803,64.31789708400859,9522.333333333334,4039.6666666666665,4.0
224.57,25538,66.85162453969288,9456.5,3240.5,4.0
203.48,24091,67.29086833923795,9496.5,2432.833333333333,4.0
201.45,22570,67.55708082364477,9296.166666666666,1609.5,4.0
202.38,21557,68.20839334350535,9506.833333333334,1241.5,4.0
203.3,21689,68.33642417600944,9834.166666666666,1148.0,4.0
220.66,21964,68.97302617829286,10326.0,1471.0,4.0
217.63,23862,68.16701942432539,10580.833333333334,1691.6666666666667,4.0
236.26,26318,66.13543456365899,10499.5,2800.0,3.8333333333333335
240.15,28291,66.68233002893004,10829.5,3368.833333333333,116.0
238.26,29699,68.23620592638206,10964.0,3816.0,1373.1666666666667
239.81,30734,70.51885608744969,11331.833333333334,3602.333333333333,3191.333333333333
221.56,30455,73.1409297580014,11773.666666666666,3298.833333333333,3986.1666666666665
210.9,30560,74.62189220508587,12025.0,3039.0,4269.833333333333
197.6,31340,73.98375179568643,12568.333333333334,2835.833333333333,4066.1666666666665
194.62,30899,73.64718315175,12687.166666666666,2316.6666666666665,3641.1666666666665
194.07,30032,74.66649867708202,13535.5,2192.0,3121.833333333333
195.45,29695,74.58461443699024,14248.833333333334,2096.833333333333,1981.0
212.75,30092,73.20410722843654,14696.166666666666,3244.833333333333,375.1666666666667
227.88,31457,73.22660764785442,14793.833333333334,4658.0,5.833333333333333
234.9,31593,73.35783032204341,14760.166666666666,5166.166666666667,4.666666666666667
238.29,32223,73.40410563445201,15024.833333333334,4843.833333333333,4.5
227.24,31572,74.10218180010934,15643.5,3846.8333333333335,4.0
203.96,29710,75.38039577565877,16103.166666666666,3014.333333333333,3.8333333333333335
191.07,27471,76.29267201908128,15824.0,2639.6666666666665,4.0
183.45,25794,80.88479209408501,16172.0,1708.6666666666667,3.6666666666666665
124.3,24034,83.07579057515179,17021.0,275.5,3.0
111.54,22753,81.71347611283122,17548.833333333332,-739.8333333333334,3.0
54.1,22068,80.66053206433288,17166.0,-959.1666666666666,3.0
28.99,21642,80.9676079991572,17343.166666666668,-1099.6666666666667,3.0
28.57,21674,80.42641635109965,17327.833333333332,-1148.0,3.0
41.09,22196,79.68888593892365,17512.5,-1051.0,3.0
42.94,23664,80.75446724023826,17129.833333333332,-306.1666666666667,3.0
77.83,23932,82.69114023497482,17235.833333333332,271.3333333333333,106.66666666666669
62.76,25731,84.7721158185152,17052.666666666668,460.1666666666667,1678.1666666666667
104.89,27571,87.4316159275367,17211.166666666668,886.3333333333334,3891.0
27.07,28319,88.19158857072969,18223.666666666668,80.66666666666667,4931.166666666667
22.01,28810,87.98049822486378,19189.666666666668,-295.6666666666667,5098.666666666667
58.05,29524,87.92275492439802,19856.83333333333,-185.3333333333333,4633.333333333333
98.76,30069,87.10580094387242,19500.0,-14.5,4437.5
90.74,28728,87.36377815589046,18969.666666666668,265.8333333333333,3740.0
148.86,27699,86.40967482309163,18172.0,1230.5,2353.6666666666665
182.68,27858,83.77499202451742,16826.166666666668,3726.5,452.5
203.12,30113,82.94904213986105,16210.666666666666,5910.166666666667,6.166666666666667
237.02,31193,80.38985747721533,15584.666666666666,6376.5,3.0
244.79,31834,79.61096969405888,16044.333333333334,6002.833333333333,3.0
254.36,31860,79.87119659237938,16155.0,5726.333333333333,3.0
224.02,30363,81.47730816825458,16294.0,5104.0,3.0
200.22,27557,82.1572860776811,16328.833333333334,3694.1666666666665,3.0
208.7,25249,83.2021221487895,15934.833333333334,2822.6666666666665,3.0
186.2,23865,82.67076626273588,15347.5,1900.6666666666667,3.0
184.22,22774,81.46077167228725,14865.833333333334,1430.5,3.0
182.0,22317,81.49591546129056,14875.666666666666,1267.6666666666667,3.0
181.83,22282,82.55110496377014,15382.0,1098.5,3.0
187.57,22942,81.39927653276176,15506.333333333334,1021.1666666666666,3.0
195.49,25957,80.64655651086264,15403.166666666666,2022.6666666666667,3.0
239.89,31333,78.28174519332347,14395.666666666666,4711.333333333333,3.333333333333333
253.76,33394,75.10634566725956,13922.0,5361.0,97.16666666666669
251.23,34454,76.95564447842223,13752.333333333334,5535.333333333333,1618.1666666666667
245.77,34667,78.72300888244695,13943.833333333334,4974.833333333333,3710.1666666666665
227.37,34827,79.64686835980977,14478.833333333334,4079.1666666666665,4606.5
215.82,34708,79.30751227571015,15146.833333333334,3030.6666666666665,4794.0
212.21,34778,79.78519004170536,15709.0,2925.5,4709.166666666667
211.21,34159,80.34793368206729,16345.166666666666,2689.5,4108.5
221.39,33811,79.41288171831263,16592.5,2677.833333333333,3146.5
234.83,33902,78.970180469201,16720.666666666668,3314.0,1993.6666666666667
247.78,34408,78.05198514710082,16823.333333333332,4435.0,377.0
255.8,35714,76.14774299352261,17246.666666666668,4774.0,24.666666666666668
256.24,35710,76.46702136874883,17516.666666666668,4786.833333333333,12.666666666666666
257.49,36158,76.78178010281331,17777.333333333332,4825.833333333333,4.0
244.85,35239,78.45221980039004,17623.166666666668,5242.166666666667,3.8333333333333335
274.31,32122,79.72600639222583,17460.0,4645.833333333333,3.6666666666666665
194.41,29231,82.15271529440471,18110.33333333333,3195.1666666666665,4.0
190.16,27579,82.62021674706354,18728.166666666668,1095.3333333333333,4.0
178.79,25689,83.29079500239627,19116.666666666668,159.5,4.0
134.48,24458,82.14689911403258,18785.166666666668,-457.1666666666667,4.0
106.45,23746,81.57376255876117,18762.166666666668,-773.5,4.0
105.81,23559,81.4493966173386,18484.166666666668,-723.8333333333334,4.0
134.43,23897,81.74260544892363,18053.166666666668,-304.3333333333333,4.0
189.23,26523,81.17925945711329,17785.833333333332,912.6666666666666,3.8333333333333335
221.26,30725,79.96071034853891,17831.0,2042.0,4.0
249.15,33136,79.9292044160602,17734.666666666668,3519.333333333333,37.333333333333336
251.81,33635,80.16257620759731,17151.5,3887.0,701.8333333333334
251.65,34002,79.75777490904824,16341.833333333334,4573.166666666667,1818.5
238.06,34038,79.5759493088829,16001.666666666666,4510.666666666667,2759.1666666666665
221.8,33886,81.07832050486995,16404.5,4312.666666666667,3347.1666666666665
219.87,34101,81.44355212776601,17094.333333333332,3910.6666666666665,3294.5
218.96,33543,80.8288170176621,17466.833333333332,3194.1666666666665,2969.0
220.31,33071,80.45633823583618,17575.666666666668,3453.333333333333,2516.6666666666665
239.45,32865,79.62354066895875,17173.333333333332,3987.1666666666665,1551.6666666666667
251.19,33130,77.69056524258548,16418.5,4746.833333333333,287.6666666666667
259.13,34233,76.04942929912272,16125.833333333334,5159.0,6.333333333333333
265.1,34307,75.93826827154003,16041.0,5079.5,4.0
265.49,34512,75.67046267730119,15832.0,5176.833333333333,4.0
247.1,33801,75.91664655698611,15978.5,5136.333333333333,4.0
239.1,31282,76.18061635009788,16126.166666666666,4075.0,4.0
250.87,28749,76.63000600851642,15794.666666666666,3040.333333333333,4.0
225.15,27145,78.41108505374555,15768.833333333334,2972.0,4.0
218.96,25407,79.02487629405705,15832.0,1948.0,4.0
214.05,24102,78.89218951252626,15358.333333333334,1679.8333333333333,4.5
207.3,23483,78.75274473373067,14922.0,1208.1666666666667,4.666666666666667
207.99,23091,77.60270362446904,14322.5,908.0,4.333333333333333
214.11,22985,75.59831903776004,13722.833333333334,1099.5,4.0
214.73,23643,74.08114529169455,13075.666666666666,1409.1666666666667,4.0
208.41,25153,73.26585736905834,12606.333333333334,1434.1666666666667,4.0
212.42,26340,71.87195905765326,12075.333333333334,2163.833333333333,79.33333333333333
218.22,28357,73.37915742793791,11278.833333333334,3468.333333333333,1690.5
217.09,29802,75.65351501241081,10723.5,3408.1666666666665,4513.0
230.98,29934,75.83793161001219,10395.0,2868.0,5986.5
241.39,29795,76.36619886059114,10348.0,2727.5,6619.166666666667
251.68,30029,76.74376225140122,10285.333333333334,2809.6666666666665,6775.833333333333
242.57,29604,76.19794815929001,9901.5,2521.833333333333,6715.833333333333
248.47,28676,75.99475317727135,9116.166666666666,2741.0,6148.833333333333
263.22,28004,72.80272477537075,8306.333333333334,3856.6666666666665,3913.1666666666665
284.94,28002,66.35847304587584,7754.666666666667,4512.666666666667,775.5
296.22,29646,65.05651536685023,8242.166666666666,5522.0,10.833333333333334
293.58,30383,64.97642808362522,8213.333333333334,5794.5,5.5
286.4,31085,61.07131395873788,7988.166666666667,5075.833333333333,4.0
295.82,30858,60.97264006202532,7902.833333333333,5060.833333333333,4.0
276.74,29067,63.12920309105473,7530.666666666667,5076.333333333333,3.333333333333333
269.03,26931,63.87579857652975,7323.0,4557.833333333333,3.333333333333333
267.58,25251,64.4023514043109,7118.333333333333,4318.666666666667,3.6666666666666665
257.75,23538,65.55939479608398,7200.5,3840.6666666666665,4.0
251.98,22540,64.27283105793978,6904.5,3291.6666666666665,4.0
241.98,21878,63.36491792454818,6344.333333333333,3026.6666666666665,3.8333333333333335
232.17,21460,62.8693963307654,5697.0,3146.333333333333,4.0
234.66,21345,63.57639783560938,5690.166666666667,3031.333333333333,4.0
240.66,21712,63.17496327967076,5608.666666666667,3200.6666666666665,4.0
254.94,22402,62.69869760629514,5531.666666666667,3357.5,4.0
247.31,23122,61.85340160527547,5258.0,3732.0,107.83333333333331
261.83,24694,64.2717986183207,4587.5,4264.5,2204.0
255.96,26195,67.34050018575633,3776.1666666666665,4198.0,5361.666666666667
248.88,26868,68.50009450658969,3437.333333333333,3851.6666666666665,6540.333333333333
257.55,26770,68.2347076351359,3218.333333333333,3638.0,6853.333333333333
261.2,27243,67.82214218928559,2943.5,3369.5,6897.833333333333
253.54,27354,67.23756133378399,2732.5,3193.0,6862.5
244.87,26481,66.3724324227411,2490.833333333333,3100.6666666666665,6319.166666666667
259.74,25848,62.35304197751488,2324.6666666666665,3878.5,4039.5
284.27,26074,55.28350515463917,2329.1666666666665,5266.0,861.6666666666666
298.19,28043,52.80665896501674,2590.833333333333,6450.5,44.833333333333336
298.89,29466,53.83858436647196,2748.333333333333,7234.333333333333,41.0
301.02,30337,51.30081345710988,2989.1666666666665,6819.666666666667,41.0
300.43,30733,50.65171866970931,3203.833333333333,6402.666666666667,39.5
288.05,29076,51.04186635529763,3580.6666666666665,5423.0,8.0
263.69,26853,52.72364412134559,3977.1666666666665,4431.5,7.5
256.47,24913,54.08962366760931,4363.5,3265.0,5.0
235.1,23376,54.06852699250442,4541.333333333333,2664.1666666666665,4.0
228.92,22387,54.2334489778364,4561.666666666667,2411.333333333333,4.0
227.17,21882,55.33651121219608,4691.666666666667,2361.1666666666665,4.0
227.09,21829,54.84363301272821,4751.666666666667,2308.333333333333,4.0
237.82,22738,53.18782147355385,4879.5,2084.1666666666665,4.0
267.17,25655,51.15554049474754,4934.0,3276.5,4.0
286.43,30699,49.73522763965128,4949.166666666667,4832.833333333333,4.0
293.05,33109,49.823206359555634,4908.833333333333,5954.333333333333,79.66666666666667
289.79,33765,50.47510671295296,4823.666666666667,5294.0,1789.0
264.36,33965,52.687170925902144,4527.333333333333,4535.833333333333,4419.666666666667
260.87,33643,54.33354015606813,4447.5,3951.8333333333335,5518.666666666667
261.44,33639,53.87191163129903,4487.5,3557.833333333333,5849.333333333333
261.84,33583,53.681394035550056,4212.333333333333,3444.6666666666665,6004.666666666667
261.3,32826,53.53426459705638,3838.8333333333335,3377.1666666666665,5958.5
263.73,32314,52.6150753582644,3357.833333333333,3531.5,5496.0
283.98,32049,49.82468626195051,2945.333333333333,4216.5,3610.8333333333335
300.41,32649,44.34659368585671,2607.833333333333,5361.666666666667,769.3333333333334
318.87,34346,44.26369370578424,2444.333333333333,7160.833333333333,12.0
323.07,34808,44.6391854908467,2503.1666666666665,7585.833333333333,4.0
335.81,35395,45.82812749527952,2615.6666666666665,7993.166666666667,4.0
300.89,34302,44.51027295653464,2716.5,7633.833333333333,4.0
289.1,31801,41.84245302703616,2896.6666666666665,5492.166666666667,4.0
267.19,28736,41.719049289125095,3014.5,4226.166666666667,3.6666666666666665
292.74,27257,45.265891589913934,2986.5,3865.0,3.0
285.73,25376,45.23763018782331,2862.1666666666665,3458.6666666666665,6.666666666666667
278.21,24387,44.689485523356005,2764.0,2927.0,3.6666666666666665
256.43,24010,46.57121853887352,2633.333333333333,2826.0,3.5
252.27,23819,46.06465587417092,2518.0,2704.333333333333,3.1666666666666665
267.71,24365,43.8698757658847,2451.333333333333,2721.1666666666665,4.0
291.93,26888,41.92613376512614,2496.333333333333,3182.5,3.0
297.38,31374,41.63380311754567,2492.333333333333,4884.0,3.0
318.55,33711,41.310315258263394,2319.0,5945.0,73.33333333333333
302.04,34378,43.67159797155603,2283.6666666666665,5690.833333333333,1652.3333333333333
291.8,34542,46.36471663619744,2276.0,4688.333333333333,4258.0
272.23,34247,48.73164573782473,2196.6666666666665,4584.5,5486.833333333333
281.99,34074,48.893242531618455,2128.833333333333,3931.6666666666665,5948.833333333333
285.34,33918,48.65270405450465,2276.5,3424.1666666666665,6061.833333333333
281.86,33173,48.30728575450195,2292.5,3152.333333333333,5988.5
290.53,32801,47.90528316368487,2291.0,3221.6666666666665,5479.166666666667
296.36,32705,45.74086527684376,2231.0,3985.0,3455.1666666666665
304.82,33081,41.490347898344325,2306.333333333333,5023.666666666667,728.5
341.59,34597,41.47466313294672,2492.6666666666665,6229.0,5.833333333333333
348.95,35396,42.33763573038312,2559.1666666666665,6867.333333333333,4.0
357.29,35905,43.11507025438516,2741.5,7228.0,3.0
311.53,35019,41.770875448902416,3031.1666666666665,5888.333333333333,3.0
293.43,32109,40.68063564908467,3159.0,4598.333333333333,3.0
271.91,28982,41.988197673195465,3210.6666666666665,4361.333333333333,3.0
297.29,27293,45.88234585161259,3325.1666666666665,3580.333333333333,3.0
283.93,25681,47.15074243955532,3394.0,2951.5,3.0
277.1,24591,46.72674368961373,3503.6666666666665,2555.0,3.0
264.79,24081,47.38482321391551,3635.1666666666665,2378.0,3.0
264.51,24067,46.91467690766405,3721.3333333333335,2198.833333333333,3.0
285.87,24566,46.517560853969655,3819.1666666666665,2516.833333333333,3.5
282.41,27185,46.33714886658602,3966.1666666666665,2954.0,3.5
302.13,31812,45.85624780606112,4092.6666666666665,4509.5,3.333333333333333
313.84,34165,47.40017335460867,4468.5,5737.333333333333,50.66666666666666
311.35,34608,50.16842523615884,4527.833333333333,5352.333333333333,1544.5
300.06,34724,54.04695123936573,4192.666666666667,5148.666666666667,4139.833333333333
298.34,34376,55.67731373757254,3953.3333333333335,4671.333333333333,5284.166666666667
292.55,33931,55.46062680579326,3791.6666666666665,4258.833333333333,5683.166666666667
292.83,33899,55.39496693118657,3703.3333333333335,4194.0,5842.833333333333
280.57,33411,54.73928221291724,3672.1666666666665,3965.8333333333335,5861.333333333333
